[08:44:46][Jeudi] UID=D5D3CF22, ID=1
[08:44:48][Jeudi] UID=D5D3CF22, ID=1
[08:45:00][Jeudi] UID=D5D3CF22, ID=1
[08:45:06][Jeudi] UID=D5D3CF22, ID=1
[08:45:09][Jeudi] UID=D5D3CF22, ID=1
[08:45:31][Jeudi] UID=D5D3CF22, ID=1
[08:45:41][Jeudi] UID=D5D3CF22, ID=1
[08:45:41][Jeudi] UID=D5D3CF22, ID=1
[08:45:41][Jeudi] UID=D5D3CF22, ID=1
[08:45:41][Jeudi] UID=D5D3CF22, ID=1
[08:45:44][Jeudi] UID=D5D3CF22, ID=1
[08:45:46][Jeudi] UID=D5D3CF22, ID=1
[08:45:48][Jeudi] UID=D5D3CF22, ID=1
[08:45:51][Jeudi] UID=D5D3CF22, ID=1
[08:47:29][Jeudi] UID=D5D3CF22, ID=1
[08:48:08][Jeudi] UID=D5D3CF22, ID=1
[08:48:26][Jeudi] UID=D5D3CF22, ID=1
[08:50:53][Jeudi] UID=D5D3CF22, ID=1
[08:51:55][Jeudi] UID=D5D3CF22, ID=1
[08:52:03][Jeudi] UID=D5D3CF22, ID=1
[08:52:06][Jeudi] UID=D5D3CF22, ID=1
[08:52:07][Jeudi] UID=D5D3CF22, ID=1
[08:52:07][Jeudi] UID=D5D3CF22, ID=1
[08:52:08][Jeudi] UID=D5D3CF22, ID=1
[08:52:10][Jeudi] UID=D5D3CF22, ID=1
[08:52:12][Jeudi] UID=D5D3CF22, ID=1
[08:52:14][Jeudi] UID=D5D3CF22, ID=1
[08:52:17][Jeudi] UID=D5D3CF22, ID=1
[08:52:23][Jeudi] UID=D5D3CF22, ID=1
[08:52:25][Jeudi] UID=D5D3CF22, ID=1
[08:52:51][Jeudi] UID=D5D3CF22, ID=1
[08:52:55][Jeudi] UID=D5D3CF22, ID=1
[08:53:48][Jeudi] UID=D5D3CF22, ID=1
[10:55:31][Jeudi] UID=D5D3CF22, ID=1
[10:55:36][Jeudi] UID=D5D3CF22, ID=1
[10:55:50][Jeudi] UID=D5D3CF22, ID=1
[10:56:04][Jeudi] UID=D5D3CF22, ID=1
[10:56:37][Jeudi] UID=D5D3CF22, ID=1
[10:58:52][Jeudi] UID=D5D3CF22, ID=1
[10:59:10][Jeudi] UID=D5D3CF22, ID=1
[10:59:35][Jeudi] UID=D5D3CF22, ID=1
[10:59:44][Jeudi] UID=D5D3CF22, ID=1
[11:00:45][Jeudi] UID=D5D3CF22, ID=1
[11:01:19][Jeudi] UID=D5D3CF22, ID=1
[11:01:34][Jeudi] UID=D5D3CF22, ID=1
[11:03:40][Jeudi] UID=D5D3CF22, ID=1
